Headlines,Time,Description
Israel to use anti-terror tech to counter coronavirus 'invisible enemy',Mar 15 2020,"Israel plans to use anti-terrorism tracking technology and a partial shutdown of its economy to minimize the risk of coronavirus transmission, Prime Minister Benjamin Netanyahu said on Saturday."
U.S. Supreme Court to review scope of investor protection laws,Jun 18 2018,The U.S. Supreme Court on Monday agreed to hear an appeal by a New York investment banker banned from the industry by the Securities and Exchange Commission in a case that could limit  the scope of those who can be held liable under laws protecting investors from securities fraud.
Walgreens to close about 200 stores in United States,Aug 06 2019,Walgreens Boots Alliance Inc  said on Tuesday it plans to close about 200 U.S. stores and expects to record related pre-tax charges of between $1.9 billion and $2.4 billion.
Germany's car watchdog sets Audi ultimatum to remove illegal diesel software: report,Sep 15 2019,"Germany's motor vehicle authority (KBA) has told Volkswagen's premium brand Audi that it faces penalties for its failure to remove illegal software from diesel cars that can manipulate emissions levels, the Bild am Sonntag (BamS) newspaper reported."
China says U.S. should tell airlines to change websites in Taiwan row,Jun 29 2018,"China said on Friday that the United States should tell its airlines to change their websites to refer to self-ruled Taiwan as Chinese territory, after the United States said China had rejected requests for talks on the matter."
Sulzer gets second license unblocking assets frozen by U.S. sanctions,Apr 14 2018,"Swiss pump-maker Sulzer , which was last week freed from U.S. sanctions related to its Russian investor Viktor Vekselberg, said its business was ""fully back to normal"" after it received a second license fully unblocking its assets."
Boeing technicians in South Carolina to vote on unionization: WSJ,May 21 2018,"Some Boeing Co  workers at the planemaker' s factory in South Carolina will vote on union representation later this month, the Wall Street Journal reported https://on.wsj.com/2xav6Px on Monday, citing U.S. labor regulators."
Trade-sensitive stocks on ropes as uncertainty weighs,May 10 2019,A week of worsening fears on Wall Street leading up to Washington's increase on tariffs on Chinese goods has taken a toll on stocks that rely heavily on global trade.
"Mattel disappoints with second-quarter results, announces job cuts",Jul 25 2018,"Mattel Inc's  quarterly sales missed analysts' estimates on Wednesday, weighed down by the absence of a big movie tie-in in the quarter, while the liquidation of key customer Toys 'R' Us continued to hurt the U.S. toy maker."
White House's Navarro says 'three strikes you're out' for ZTE,Jun 10 2018,"Chinese technology company ZTE Corp will be ""shut down"" in the United States if it engages in one more bad activity, White House trade adviser Peter Navarro warned on Sunday."
Homeland Security unveils new cyber security strategy amid threats,May 15 2018,The U.S. Department of Homeland Security on Tuesday unveiled a new national strategy for addressing the growing number of cyber security risks as it works to assess them and reduce vulnerabilities.
"Los Angeles union, joined by 'Pandemic Pig,' demands meatpacking plant closure",May 29 2020,"The union representing workers at a meatpacking plant near Los Angeles where at least 153 employees have come down with COVID-19 called on Thursday for the plant's immediate closure, saying measures to control the outbreak were not working."
Microsoft expands program for women returning to work,Jun 05 2018,"Microsoft Corp  is expanding a program designed to increase its hiring of women seeking to rejoin the workforce, following a rash of complaints about sexual harassment and gender discrimination at the world's largest software company."
OPEC has shown it can reach deal despite splits: Iran oil minister,Dec 15 2018,Iranian Oil Minister Bijan Zanganeh praised OPEC on Saturday for what he said was the producer group's ability to reach agreement despite intense internal political differences.
