GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
200,848.09,2473.5,2946.42,-2318.5,-20496.84,1104.43,11199.47,-2338.61,88.71,-4243.43,-2249.9,-6493.33
201,859.18,2434.78,2947.0,-2348.34,-20436.45,1096.5,11209.79,-2356.09,88.62,-4237.54,-2267.47,-6505.02
202,889.55,2398.01,2905.17,-2285.06,-20427.17,1101.71,11237.84,-2404.63,90.77,-4179.95,-2313.86,-6493.81
203,886.98,2369.43,2918.75,-2285.89,-20416.78,1079.67,11231.03,-2432.93,90.13,-4216.82,-2342.8,-6559.62
204,881.08,2396.88,2933.81,-2290.41,-20402.81,1120.66,11264.08,-2491.43,92.76,-4096.72,-2398.66,-6495.39
205,937.66,2413.62,2906.07,-2277.02,-20428.54,1097.0,11246.54,-2489.57,93.78,-4104.67,-2395.79,-6500.46
206,846.89,2323.87,2917.81,-2317.53,-20418.13,1103.01,11261.8,-2451.59,91.87,-4282.27,-2359.72,-6641.99
207,917.74,2421.91,2934.73,-2272.8,-20578.9,1090.74,11245.71,-2324.23,91.6,-4240.87,-2232.64,-6473.5
208,841.35,2382.82,2917.71,-2319.6,-20491.86,1097.37,11250.71,-2378.9,91.37,-4321.5,-2287.52,-6609.02
209,874.23,2373.2,2935.89,-2350.41,-20488.77,1079.5,11231.11,-2348.8,88.48,-4345.25,-2260.32,-6605.57
210,875.55,2450.24,2936.65,-2338.65,-20320.3,1077.95,11137.26,-2420.0,91.44,-4181.31,-2328.57,-6509.88
211,911.43,2383.77,2970.68,-2283.59,-20471.73,1082.65,11236.47,-2377.61,90.7,-4170.33,-2286.91,-6457.24
212,865.92,2388.44,2923.66,-2345.13,-20514.19,1091.92,11254.14,-2319.21,89.24,-4335.25,-2229.97,-6565.22
213,869.84,2340.95,2937.5,-2344.64,-20443.88,1097.61,11278.94,-2437.47,88.77,-4263.68,-2348.7,-6612.38
214,909.75,2407.14,2946.28,-2276.4,-20459.1,1090.91,11245.4,-2437.55,92.49,-4136.02,-2345.07,-6481.08
215,901.45,2360.49,2965.8,-2307.73,-20486.76,1081.54,11252.16,-2354.58,89.84,-4233.04,-2264.74,-6497.78
216,910.75,2354.83,2933.59,-2367.22,-20412.03,1108.62,11188.95,-2309.51,88.26,-4282.51,-2221.25,-6503.76
217,929.96,2396.32,2965.76,-2334.52,-20543.17,1092.99,11249.83,-2312.57,88.78,-4242.84,-2223.79,-6466.64
218,858.04,2362.66,2961.03,-2342.36,-20416.26,1106.72,11253.8,-2417.18,90.91,-4216.36,-2326.28,-6542.64
219,867.31,2355.19,2901.79,-2281.39,-20527.2,1094.11,11263.68,-2388.28,91.56,-4326.51,-2296.71,-6623.22
220,915.53,2436.52,2941.96,-2309.05,-20352.27,1089.6,11172.28,-2391.61,88.77,-4105.44,-2302.84,-6408.28
221,883.05,2393.36,2923.97,-2314.26,-20478.94,1077.02,11258.05,-2383.34,89.85,-4257.75,-2293.49,-6551.24
222,843.54,2348.66,2929.77,-2309.75,-20542.5,1091.4,11285.92,-2322.57,90.75,-4352.97,-2231.81,-6584.78
223,875.93,2391.77,2927.4,-2299.64,-20414.47,1084.28,11111.06,-2321.02,89.52,-4323.66,-2231.5,-6555.16
224,920.06,2501.61,2910.98,-2277.83,-20405.7,1097.54,11186.08,-2381.69,90.81,-4067.26,-2290.88,-6358.14
225,869.82,2388.41,2941.87,-2324.05,-20538.95,1065.55,11215.14,-2307.03,89.3,-4382.23,-2217.73,-6599.96
226,884.88,2434.22,2943.94,-2318.85,-20484.24,1098.55,11281.97,-2383.04,88.46,-4159.53,-2294.57,-6454.11
227,855.94,2411.28,2939.86,-2323.0,-20426.48,1077.06,11251.66,-2412.88,88.38,-4213.68,-2324.49,-6538.17
228,892.18,2363.4,2923.44,-2290.15,-20496.02,1089.24,11174.65,-2337.53,91.72,-4343.25,-2245.81,-6589.06
229,880.2,2364.32,2937.52,-2283.88,-20574.97,1090.55,11244.19,-2313.23,91.58,-4342.08,-2221.65,-6563.73
230,846.74,2357.01,2923.67,-2313.55,-20568.65,1085.03,11295.31,-2308.39,88.68,-4374.45,-2219.71,-6594.16
231,870.35,2431.85,2941.75,-2306.86,-20524.09,1097.79,11283.87,-2374.79,90.24,-4205.34,-2284.55,-6489.89
232,865.74,2417.15,2942.56,-2333.2,-20566.84,1084.95,11270.42,-2330.65,89.34,-4319.24,-2241.31,-6560.55
233,887.86,2434.79,2932.12,-2296.66,-20589.88,1085.1,11248.3,-2298.96,88.77,-4298.38,-2210.2,-6508.58
234,838.35,2487.13,2947.85,-2343.88,-20607.77,1086.11,11281.76,-2280.16,89.73,-4310.46,-2190.43,-6500.89
235,926.85,2306.94,2899.03,-2306.77,-20408.0,1068.11,11221.79,-2423.17,91.22,-4292.05,-2331.96,-6624.01
236,901.41,2401.37,2931.43,-2299.5,-20491.67,1057.17,11264.45,-2385.42,90.73,-4235.34,-2294.69,-6530.03
237,907.63,2386.16,2898.79,-2327.78,-20426.04,1104.97,11277.94,-2427.17,91.78,-4178.33,-2335.4,-6513.72
238,903.31,2365.51,2942.69,-2361.0,-20431.71,1094.77,11223.66,-2366.18,88.51,-4262.77,-2277.67,-6540.44
239,851.86,2407.43,2933.69,-2301.67,-20508.68,1091.48,11241.25,-2371.85,90.33,-4284.65,-2281.52,-6566.16
240,920.21,2413.2,2921.73,-2322.9,-20537.53,1103.91,11265.89,-2311.07,89.17,-4235.5,-2221.9,-6457.4
241,869.22,2415.18,2944.18,-2333.6,-20417.02,1100.81,11252.02,-2398.72,89.3,-4169.21,-2309.41,-6478.62
242,851.54,2424.31,2915.92,-2314.18,-20416.34,1114.84,11242.51,-2446.07,90.32,-4181.4,-2355.75,-6537.15
243,907.64,2446.86,2894.59,-2327.38,-20365.36,1100.52,11238.54,-2483.65,93.69,-4104.59,-2389.96,-6494.55
244,883.05,2426.18,2917.35,-2308.79,-20500.75,1104.52,11137.25,-2326.67,89.88,-4341.2,-2236.79,-6577.99
