POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
200,848.09,2473.5,2946.42,-2318.5,-20496.84,1104.43,11199.47,-2368.42,63.24,0.0,-4243.43,-2305.18,-6548.61
210,875.55,2450.24,2936.65,-2338.65,-20320.3,1077.95,11137.26,-2465.68,64.81,0.0,-4181.31,-2400.87,-6582.18
220,915.53,2436.52,2941.96,-2309.05,-20352.27,1089.6,11172.28,-2428.58,65.1,0.0,-4105.44,-2363.48,-6468.92
230,846.74,2357.01,2923.67,-2313.55,-20568.65,1085.03,11295.31,-2316.49,63.83,0.0,-4374.45,-2252.66,-6627.12
240,920.21,2413.2,2921.73,-2322.9,-20537.53,1103.91,11265.89,-2362.47,64.11,0.0,-4235.5,-2298.36,-6533.86
250,867.2,2383.38,2911.17,-2297.63,-20505.03,1088.22,11241.72,-2367.05,65.08,0.0,-4310.98,-2301.98,-6612.96
260,920.61,2386.08,2927.16,-2271.56,-20417.69,1108.66,11304.96,-2505.99,64.55,0.0,-4041.77,-2441.44,-6483.21
270,865.97,2458.74,2945.95,-2290.96,-20514.57,1094.59,11204.98,-2392.94,64.74,0.0,-4235.3,-2328.2,-6563.5
280,911.36,2394.02,2972.08,-2292.77,-20431.97,1110.56,11313.25,-2530.59,66.09,0.0,-4023.46,-2464.5,-6487.96
290,887.94,2452.91,2916.62,-2291.38,-20321.75,1082.11,11275.71,-2569.73,66.21,0.0,-3997.85,-2503.53,-6501.38
300,853.79,2381.89,2944.44,-2286.32,-20482.98,1094.5,11333.21,-2526.31,65.98,0.0,-4161.47,-2460.33,-6621.8
310,859.64,2412.7,2957.33,-2321.25,-20482.1,1095.61,11272.64,-2439.87,65.56,0.0,-4205.43,-2374.31,-6579.74
320,873.2,2410.48,2974.83,-2311.64,-20475.84,1083.9,11291.64,-2435.08,65.85,0.0,-4153.44,-2369.24,-6522.68
330,917.94,2349.31,2916.33,-2275.51,-20618.05,1097.87,11301.65,-2372.14,66.52,0.0,-4310.44,-2305.61,-6616.05
340,890.85,2430.31,2926.55,-2301.85,-20473.27,1071.34,11263.43,-2426.91,66.07,0.0,-4192.64,-2360.85,-6553.49
350,829.97,2411.94,2883.55,-2311.96,-20390.88,1074.57,11291.35,-2500.74,66.63,0.0,-4211.47,-2434.11,-6645.58
360,871.95,2460.88,2922.1,-2301.74,-20548.9,1093.17,11238.0,-2328.08,64.9,0.0,-4264.53,-2263.17,-6527.7
370,916.69,2385.54,2889.24,-2252.79,-20501.2,1089.74,11323.63,-2455.25,67.42,0.0,-4149.15,-2387.84,-6536.99
380,888.28,2412.18,2937.58,-2291.1,-20537.74,1092.2,11260.63,-2385.23,67.13,0.0,-4237.96,-2318.1,-6556.06
390,903.68,2392.87,2898.2,-2342.98,-20558.62,1092.06,11304.35,-2333.48,65.03,0.0,-4310.43,-2268.46,-6578.89
400,867.82,2402.68,2897.27,-2288.79,-20377.89,1095.38,11235.53,-2473.9,67.31,0.0,-4168.01,-2406.59,-6574.59
410,909.83,2423.67,2903.73,-2317.03,-20405.43,1060.98,11293.83,-2442.93,66.96,0.0,-4130.42,-2375.97,-6506.39
