POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
300,757.68,2358.52,2651.27,-2002.6,-18849.9,967.07,12127.92,-2861.1,66.02,0.0,-1990.04,-2795.07,-4785.11
301,828.65,2313.67,2617.18,-2004.48,-18837.01,975.1,12143.26,-2831.18,65.59,0.0,-1963.63,-2765.59,-4729.23
302,852.34,2319.88,2644.45,-1970.2,-18767.84,962.02,12085.85,-2885.76,69.1,0.0,-1873.51,-2816.66,-4690.17
303,779.32,2383.45,2621.13,-1974.5,-18698.1,960.97,12089.13,-2949.23,68.46,0.0,-1838.59,-2880.77,-4719.36
304,788.47,2347.01,2594.85,-2047.26,-18631.36,970.91,12132.68,-2959.62,63.91,0.0,-1844.7,-2895.7,-4740.4
305,794.53,2288.72,2623.94,-2014.67,-18779.3,954.04,12077.45,-2821.38,63.94,0.0,-2055.29,-2757.44,-4812.73
306,782.29,2379.9,2624.36,-2015.0,-18893.04,973.48,12156.41,-2826.32,63.68,0.0,-1991.6,-2762.64,-4754.25
307,832.8,2307.26,2632.02,-2040.2,-18703.73,948.53,12098.88,-2897.37,63.61,0.0,-1924.45,-2833.76,-4758.21
308,758.58,2375.67,2622.08,-2019.43,-18872.84,966.3,12132.16,-2771.17,63.0,0.0,-2037.49,-2708.17,-4745.65
309,767.08,2364.3,2663.51,-2002.0,-18731.68,946.84,12102.82,-2865.8,65.11,0.0,-1889.13,-2800.69,-4689.82
310,768.54,2326.79,2619.74,-2008.26,-18833.29,954.49,12061.46,-2730.52,62.82,0.0,-2110.53,-2667.69,-4778.22
311,821.45,2384.42,2631.51,-2010.29,-18750.43,947.11,12055.36,-2798.46,63.52,0.0,-1920.87,-2734.93,-4655.8
312,788.37,2314.73,2613.01,-2062.19,-18801.15,974.86,12100.56,-2778.72,62.34,0.0,-2071.8,-2716.38,-4788.18
