POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
100,1145.93,3154.41,4144.81,-3183.6,-25887.41,1374.55,13770.58,-3091.29,86.61,0.0,-5480.71,-3004.68,-8485.39
105,1149.1,3164.92,4207.88,-3186.47,-25720.14,1391.93,13733.98,-3174.22,85.69,0.0,-5258.8,-3088.53,-8347.33
110,1128.18,3074.42,4222.91,-3218.46,-25970.37,1390.27,13873.58,-3065.0,86.24,0.0,-5499.48,-2978.76,-8478.24
115,1222.87,3085.37,4210.39,-3181.64,-25916.51,1375.48,13774.98,-3065.33,87.01,0.0,-5429.07,-2978.32,-8407.38
120,1144.85,3134.53,4187.22,-3178.76,-25987.45,1371.38,13837.36,-3059.44,86.56,0.0,-5490.87,-2972.88,-8463.76
125,1254.22,3082.63,4162.34,-3144.77,-25888.47,1363.17,13807.2,-3117.49,85.89,0.0,-5363.67,-3031.6,-8395.27
130,1133.45,3102.45,4148.38,-3146.21,-25864.84,1413.33,13800.81,-3120.28,87.5,0.0,-5412.62,-3032.79,-8445.41
135,1213.42,3062.01,4146.06,-3182.01,-25899.9,1357.4,13852.19,-3069.24,86.71,0.0,-5450.84,-2982.54,-8433.37
140,1153.47,3112.19,4142.55,-3187.15,-25868.44,1363.32,13774.37,-3079.42,85.98,0.0,-5509.69,-2993.44,-8503.12
145,1220.88,3101.6,4161.34,-3161.49,-25805.86,1354.92,13826.88,-3223.21,87.89,0.0,-5301.72,-3135.32,-8437.04
150,1181.3,3068.06,4198.73,-3143.9,-25915.85,1368.74,13754.51,-3096.41,87.45,0.0,-5488.41,-3008.97,-8497.38
155,1160.22,3098.09,4154.34,-3172.32,-25884.28,1399.6,13772.6,-3099.54,86.96,0.0,-5471.75,-3012.58,-8484.33
160,1176.93,3125.23,4167.33,-3208.44,-25906.88,1375.77,13788.26,-3008.62,85.89,0.0,-5481.81,-2922.73,-8404.53
165,1154.32,3074.81,4179.75,-3191.37,-25836.78,1400.67,13785.1,-3106.57,85.26,0.0,-5433.51,-3021.32,-8454.83
170,1117.26,3144.58,4144.87,-3207.59,-25889.92,1341.68,13811.52,-3069.97,85.46,0.0,-5537.61,-2984.5,-8522.12
175,1170.55,3118.3,4191.92,-3196.5,-25915.82,1376.01,13836.04,-3088.86,84.84,0.0,-5419.5,-3004.02,-8423.52
180,1123.2,3131.31,4168.58,-3235.69,-25871.11,1356.05,13843.77,-3120.99,85.78,0.0,-5483.89,-3035.21,-8519.11
185,1208.0,3060.05,4187.14,-3205.48,-25880.15,1363.91,13806.25,-3122.54,83.53,0.0,-5460.29,-3039.0,-8499.3
190,1189.64,3080.27,4130.71,-3241.27,-25848.99,1377.75,13880.18,-3118.79,84.65,0.0,-5431.71,-3034.14,-8465.85
195,1168.8,3084.14,4166.41,-3200.18,-25826.52,1386.71,13818.47,-3129.6,85.07,0.0,-5402.18,-3044.53,-8446.71
200,1160.44,3074.64,4175.18,-3224.17,-25907.94,1371.74,13800.7,-3112.3,85.39,0.0,-5549.4,-3026.92,-8576.32
205,1162.12,3089.47,4150.43,-3184.07,-26085.18,1394.4,13865.74,-2994.23,84.97,0.0,-5607.1,-2909.26,-8516.36
210,1150.33,3110.59,4167.37,-3226.82,-26005.99,1380.3,13895.05,-3042.0,84.02,0.0,-5529.16,-2957.98,-8487.14
215,1137.81,3146.98,4174.93,-3213.03,-26017.72,1379.13,13838.59,-3044.87,82.76,0.0,-5553.31,-2962.1,-8515.41
220,1134.12,3141.13,4148.88,-3208.92,-25964.38,1375.14,13810.39,-3040.62,84.9,0.0,-5563.65,-2955.72,-8519.38
225,1184.05,3091.61,4163.32,-3232.17,-25958.83,1404.17,13841.14,-3035.66,83.25,0.0,-5506.72,-2952.42,-8459.13
230,1133.11,3052.61,4154.15,-3244.45,-25876.21,1379.76,13895.42,-3127.12,85.08,0.0,-5505.61,-3042.04,-8547.66
235,1183.49,3072.49,4165.33,-3212.93,-25989.24,1369.59,13741.92,-3021.36,83.73,0.0,-5669.35,-2937.63,-8606.98
240,1186.41,3167.39,4180.08,-3189.92,-26024.99,1371.72,13826.83,-3027.8,84.32,0.0,-5482.47,-2943.48,-8425.95
245,1184.11,3145.43,4168.9,-3228.81,-25728.69,1368.36,13798.62,-3209.81,84.82,0.0,-5292.08,-3124.99,-8417.07
250,1149.44,3094.22,4143.63,-3203.02,-25960.25,1388.35,13817.67,-3062.9,83.78,0.0,-5569.97,-2979.12,-8549.09
