model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../7_emscoring/emscoring_2.pdb	-	1	-129.536	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	0.000	326.214	71.924	2283.590	0.000	0.000	0.000	13.367	2506.130	-550.970	99.972	0.000	0.000	0.000	-583.678	-32.709	0.000	0.000
../../7_emscoring/emscoring_4.pdb	-	2	-124.541	0.496	0.892	1.447	0.888	0.922	0.574	-	-	-	0.000	327.937	69.349	2248.140	0.000	0.000	0.000	9.590	2517.290	-522.734	99.245	0.000	0.000	0.000	-552.318	-29.584	0.000	0.000
../../7_emscoring/emscoring_3.pdb	-	3	-117.398	0.464	0.819	1.090	0.763	0.905	0.552	-	-	-	0.000	330.769	70.088	2133.110	0.000	0.000	0.000	12.833	2520.600	-514.076	101.683	0.000	0.000	0.000	-541.492	-27.415	0.000	0.000
../../7_emscoring/emscoring_1.pdb	-	4	-114.574	0.420	0.855	0.692	0.598	0.925	0.440	-	-	-	0.000	332.141	71.728	2160.720	0.000	0.000	0.000	8.002	2512.070	-427.262	97.863	0.000	0.000	0.000	-464.386	-37.124	0.000	0.000
../../7_emscoring/emscoring_5.pdb	-	5	-100.369	2.607	0.325	7.306	5.988	0.383	2.738	-	-	-	0.000	314.031	66.944	1610.940	0.000	0.000	0.000	0.974	2521.810	-255.175	96.757	0.000	0.000	0.000	-305.483	-50.308	0.000	0.000
../../7_emscoring/emscoring_9.pdb	-	6	-96.299	10.566	0.072	27.311	19.348	0.060	13.309	-	-	-	0.000	328.006	66.570	1553.240	0.000	0.000	0.000	13.249	2506.360	-342.420	101.335	0.000	0.000	0.000	-383.484	-41.065	0.000	0.000
../../7_emscoring/emscoring_6.pdb	-	7	-92.350	2.471	0.313	6.952	5.754	0.394	2.417	-	-	-	0.000	323.837	67.586	1553.930	0.000	0.000	0.000	10.552	2525.290	-357.185	97.476	0.000	0.000	0.000	-388.650	-31.465	0.000	0.000
../../7_emscoring/emscoring_7.pdb	-	8	-89.503	2.720	0.289	8.204	6.476	0.347	2.780	-	-	-	0.000	325.976	67.060	1394.260	0.000	0.000	0.000	17.704	2527.630	-346.344	98.147	0.000	0.000	0.000	-384.282	-37.938	0.000	0.000
../../7_emscoring/emscoring_11.pdb	-	9	-84.630	10.681	0.072	26.924	19.497	0.061	13.334	-	-	-	0.000	321.092	65.091	1511.200	0.000	0.000	0.000	10.365	2504.270	-274.950	98.426	0.000	0.000	0.000	-314.954	-40.005	0.000	0.000
../../7_emscoring/emscoring_8.pdb	-	10	-83.588	2.451	0.301	7.202	5.889	0.385	2.359	-	-	-	0.000	330.983	70.277	1311.180	0.000	0.000	0.000	17.127	2522.010	-389.723	99.848	0.000	0.000	0.000	-412.494	-22.770	0.000	0.000
