model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../7_emscoring/emscoring_1.pdb	-	1	-145.033	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	0.000	323.163	68.792	2680.970	0.000	0.000	0.000	8.378	2499.550	-335.737	94.578	0.000	0.000	0.000	-422.000	-86.263	0.000	0.000
../../7_emscoring/emscoring_3.pdb	-	2	-139.272	0.554	0.922	0.844	0.795	0.931	0.571	-	-	-	0.000	324.564	68.595	2706.420	0.000	0.000	0.000	6.432	2465.670	-259.653	92.119	0.000	0.000	0.000	-353.427	-93.774	0.000	0.000
../../7_emscoring/emscoring_2.pdb	-	3	-138.105	0.720	0.909	1.376	1.302	0.899	0.662	-	-	-	0.000	315.589	66.461	2567.430	0.000	0.000	0.000	5.002	2491.030	-247.292	90.927	0.000	0.000	0.000	-340.940	-93.649	0.000	0.000
../../7_emscoring/emscoring_5.pdb	-	4	-133.954	21.261	0.052	43.725	40.062	0.031	21.538	-	-	-	0.000	303.670	69.070	1940.960	0.000	0.000	0.000	3.752	2453.330	-466.125	91.663	0.000	0.000	0.000	-510.606	-44.480	0.000	0.000
../../7_emscoring/emscoring_4.pdb	-	5	-132.957	0.564	0.870	1.399	1.095	0.907	0.608	-	-	-	0.000	320.720	69.556	2529.860	0.000	0.000	0.000	10.927	2486.470	-348.850	93.212	0.000	0.000	0.000	-422.963	-74.113	0.000	0.000
../../7_emscoring/emscoring_6.pdb	-	6	-130.340	21.419	0.039	43.965	40.430	0.027	21.589	-	-	-	0.000	312.294	69.987	1883.290	0.000	0.000	0.000	3.215	2438.720	-489.007	93.312	0.000	0.000	0.000	-524.761	-35.754	0.000	0.000
../../7_emscoring/emscoring_9.pdb	-	7	-124.464	20.033	0.026	45.710	39.555	0.022	20.428	-	-	-	0.000	334.497	69.105	2281.570	0.000	0.000	0.000	-13.058	2474.930	-143.467	93.288	0.000	0.000	0.000	-226.180	-82.713	0.000	0.000
../../7_emscoring/emscoring_8.pdb	-	8	-115.458	21.110	0.039	43.805	40.105	0.027	21.344	-	-	-	0.000	306.603	69.452	1836.260	0.000	0.000	0.000	-0.181	2437.180	-367.324	90.429	0.000	0.000	0.000	-409.136	-41.812	0.000	0.000
../../7_emscoring/emscoring_10.pdb	-	9	-111.555	20.113	0.026	46.780	39.943	0.021	20.608	-	-	-	0.000	311.633	68.703	2162.670	0.000	0.000	0.000	-18.883	2465.600	-70.455	90.727	0.000	0.000	0.000	-149.035	-78.581	0.000	0.000
../../7_emscoring/emscoring_12.pdb	-	10	-109.227	20.378	0.039	45.895	40.070	0.026	20.690	-	-	-	0.000	318.703	69.972	1986.890	0.000	0.000	0.000	-14.002	2457.650	-192.490	93.087	0.000	0.000	0.000	-249.217	-56.727	0.000	0.000
../../7_emscoring/emscoring_7.pdb	-	11	-107.680	20.902	0.052	43.201	39.761	0.031	21.080	-	-	-	0.000	313.374	71.205	1683.850	0.000	0.000	0.000	-3.904	2470.470	-321.651	92.522	0.000	0.000	0.000	-361.097	-39.446	0.000	0.000
../../7_emscoring/emscoring_11.pdb	-	12	-99.068	21.573	0.039	47.644	41.907	0.025	21.887	-	-	-	0.000	323.849	71.554	1866.750	0.000	0.000	0.000	-15.402	2449.160	-158.549	89.764	0.000	0.000	0.000	-210.506	-51.956	0.000	0.000
../../7_emscoring/emscoring_21.pdb	-	13	-98.836	22.497	0.091	43.618	41.261	0.044	22.126	-	-	-	0.000	316.581	68.877	1933.890	0.000	0.000	0.000	-0.637	2462.020	-213.635	92.004	0.000	0.000	0.000	-269.106	-55.471	0.000	0.000
../../7_emscoring/emscoring_25.pdb	-	14	-95.956	18.690	0.091	38.459	36.512	0.048	18.578	-	-	-	0.000	303.336	69.891	1839.670	0.000	0.000	0.000	-2.049	2456.540	-356.472	91.472	0.000	0.000	0.000	-379.084	-22.612	0.000	0.000
../../7_emscoring/emscoring_13.pdb	-	15	-92.992	23.214	0.052	43.177	40.744	0.031	23.567	-	-	-	0.000	322.761	69.770	1755.140	0.000	0.000	0.000	-5.574	2454.320	-248.807	93.309	0.000	0.000	0.000	-286.464	-37.657	0.000	0.000
../../7_emscoring/emscoring_15.pdb	-	16	-92.062	23.034	0.039	42.540	40.363	0.027	23.351	-	-	-	0.000	330.530	71.877	1536.240	0.000	0.000	0.000	-0.027	2468.510	-348.302	98.914	0.000	0.000	0.000	-370.677	-22.375	0.000	0.000
../../7_emscoring/emscoring_14.pdb	-	17	-91.748	23.208	0.039	42.577	40.657	0.027	23.442	-	-	-	0.000	316.737	70.295	1454.210	0.000	0.000	0.000	0.678	2449.310	-376.751	91.695	0.000	0.000	0.000	-393.827	-17.077	0.000	0.000
../../7_emscoring/emscoring_23.pdb	-	18	-90.719	22.913	0.091	44.425	42.023	0.043	22.558	-	-	-	0.000	323.121	68.917	1763.770	0.000	0.000	0.000	-0.082	2453.560	-205.490	94.249	0.000	0.000	0.000	-255.029	-49.539	0.000	0.000
