#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	9298	9423	+	EEBJGP_00009	4.9	6.1		
contig_1	30963	32159	+	EEBJGP_00050	42.0	8.4	PF05257.22|CHAP, PF24568.1|CC_PcsB	PFAM:PF05257.22, PFAM:PF24568.1
contig_1	55605	56006	+	EEBJGP_00070	15.0	9.8	PF02493.26|MORN	PFAM:PF02493.26
contig_1	60699	60806	-	EEBJGP_00073	4.2	10.3		
contig_1	76340	76456	+	EEBJGP_00100	4.5	10.6	PF00444.23|Ribosomal_L36	PFAM:PF00444.23
contig_1	86734	87000	+	EEBJGP_00121	9.3	7.6	PF00288.32|GHMP_kinases_N	PFAM:PF00288.32
contig_1	87040	87267	+	EEBJGP_00122	8.1	5.6	PF08544.19|GHMP_kinases_C	PFAM:PF08544.19
contig_1	89480	89773	-	EEBJGP_00126	11.1	5.4	PF01230.28|HIT	PFAM:PF01230.28
contig_1	131033	131698	-	EEBJGP_00160	26.3	7.8		SO:0001217, UniRef:UniRef50_Q9A1R6
contig_1	138039	138404	+	EEBJGP_00167	13.6	4.8	PF01042.26|Ribonuc_L-PSP	PFAM:PF01042.26
contig_1	181303	181443	+	EEBJGP_00204	5.2	4.1		
contig_1	183515	183724	+	EEBJGP_00207	7.6	4.8		
contig_1	183846	184067	-	EEBJGP_00208	8.6	8.0	PF13683.12|rve_3	PFAM:PF13683.12
contig_1	184107	184277	-	EEBJGP_00209	6.4	9.2	PF00665.32|rve	PFAM:PF00665.32
contig_1	196264	196641	-	EEBJGP_00223	14.7	7.9		SO:0001217, UniRef:UniRef50_A0A5S4TE37
contig_1	196834	197166	+	EEBJGP_00224	13.0	9.4	PF04397.21|LytTR	PFAM:PF04397.21
contig_1	199326	199469	-	EEBJGP_00227	5.3	9.7		
contig_1	199869	199982	+	EEBJGP_00228	4.4	9.4		
contig_1	204808	204975	+	EEBJGP_00232	5.9	5.6		
contig_1	204976	205137	+	EEBJGP_00233	6.0	6.5		
contig_1	205241	205360	+	EEBJGP_00234	4.3	9.1		
contig_1	209123	209254	+	EEBJGP_00237	5.1	9.3		
contig_1	230353	231672	+	EEBJGP_00259	48.5	5.4		SO:0001217, UniRef:UniRef50_E9RWM6
contig_1	293982	294674	+	EEBJGP_00318	24.8	5.3		
contig_1	313031	313633	+	EEBJGP_00334	23.4	9.2		
contig_1	319321	319599	-	EEBJGP_00341	10.4	8.0	PF00708.24|Acylphosphatase	PFAM:PF00708.24
contig_1	364666	366846	+	EEBJGP_00389	81.0	5.6	PF00317.26|Ribonuc_red_lgN	PFAM:PF00317.26
contig_1	368262	368417	+	EEBJGP_00391	5.6	9.0		
contig_1	368428	368736	+	EEBJGP_00392	11.4	4.3		
contig_1	371722	372177	+	EEBJGP_00396	16.9	4.8		SO:0001217, UniRef:UniRef50_A0A5S4TLX4
