target_id	length	eff_length	est_counts	tpm
gene-CDR20291_3551	408	246.18	3167	245.095
gene-CDR20291_3552	774	608.915	3959	123.871
rna-16S	1630	1464.91	929649	12090.5
rna-23S	2951	2785.91	585671	4005.2
rna-5S	117	23.7072	8.81633	7.0851
gene-CDR20291_0001	510	345.726	2535	139.696
gene-CDR20291_0002	882	716.915	2385	63.3811
gene-CDR20291_0003	1272	1106.91	20829	358.503
gene-CDR20291_0004	456	292.579	6899	449.244
gene-CDR20291_0005	1638	1472.91	11841	153.162
gene-CDR20291_0006	351	192.41	1737	171.994
gene-CDR20291_0007	600	435.151	14041	614.749
gene-CDR20291_0008	1206	1040.91	6384	116.847
rna-16S_1	1779	1613.91	358812	4235.71
rna-23S_1	2951	2785.91	245752	1680.62
rna-5S_1	117	23.7072	1.10204	0.885638
gene-CDR20291_0009	414	251.916	280	21.1759
gene-CDR20291_0010	3432	3266.91	173567	1012.2
gene-CDR20291_0011	1929	1763.91	1610	17.3895
gene-CDR20291_0012	465	301.401	3021	190.961
gene-CDR20291_0013	495	330.886	4127	237.627
gene-CDR20291_0014	1026	860.915	14046	310.836
gene-CDR20291_0015	2250	2084.91	49064	448.346
gene-CDR20291_0016	1374	1208.91	6260	98.6547
gene-CDR20291_0017	1071	905.915	1225	25.7625
gene-CDR20291_0018	1095	929.915	21759	445.795
gene-CDR20291_0019	2178	2012.91	9750	92.2823
gene-CDR20291_0020	846	680.915	159	4.44881
gene-CDR20291_0021	1167	1001.91	29	0.55145
gene-CDR20291_0022	1647	1481.91	61	0.784234
gene-CDR20291_0023	1374	1208.91	127	2.00146
gene-CDR20291_0024	954	788.915	216	5.2163
gene-CDR20291_0025	969	803.915	535	12.6789
gene-CDR20291_0026	987	821.915	879	20.3752
gene-CDR20291_0027	1047	881.915	786	16.9799
gene-CDR20291_0028	1731	1565.91	1066	12.9696
gene-CDR20291_0029	2949	2783.91	245	1.67668
gene-CDR20291_0030	465	301.401	18	1.1378
gene-CDR20291_0031	303	149.609	25	3.18361
gene-CDR20291_0032	1365	1199.91	56	0.889153
gene-CDR20291_0033	474	310.206	8	0.491337
gene-CDR20291_0034	651	486.025	17	0.666391
gene-CDR20291_0035	933	767.915	456	11.3133
gene-CDR20291_0036	747	581.922	1003	32.8379
gene-CDR20291_0037	486	321.992	1518	89.8185
gene-CDR20291_0038	1716	1550.91	16513	202.851
gene-CDR20291_0039	1533	1367.91	26962	375.519
gene-CDR20291_0040	1482	1316.91	12908	186.741
gene-CDR20291_0041	1404	1238.91	58967	906.79
gene-CDR20291_0042	396	234.759	28007	2272.92
gene-CDR20291_0043	831	665.915	16746	479.106
gene-CDR20291_0044	495	330.886	1145	65.9274
gene-CDR20291_0045	1377	1211.91	22199	348.98
gene-CDR20291_0046	750	584.922	18267	594.988
gene-CDR20291_0047	303	149.609	986	125.562
gene-CDR20291_0048	747	581.922	19923	652.272
gene-CDR20291_0049	528	363.527	10730	562.344
gene-CDR20291_0050	663	498.001	16954	648.607
gene-CDR20291_0051	1194	1028.91	153195	2836.64
gene-CDR20291_0052	150	40.7131	17225	8060.55
gene-CDR20291_0053	222	85.998	13493	2989.23
gene-CDR20291_0054	543	378.397	24580	1237.58
gene-CDR20291_0055	426	263.446	59090	4273.29
gene-CDR20291_0056	699	533.95	94151	3359.41
gene-CDR20291_0057	507	342.748	42700	2373.52
gene-CDR20291_0058	366	206.375	24296	2242.94
gene-CDR20291_0059	789	623.915	16064	490.532
gene-CDR20291_0060	3717	3551.91	49252	264.18
gene-CDR20291_0061	3486	3320.91	118181	677.999
gene-CDR20291_0062	426	263.446	74150	5362.4
gene-CDR20291_0063	471	307.264	26393	1636.5
gene-CDR20291_0064	2067	1901.91	376119	3767.67
gene-CDR20291_0065	1194	1028.91	330224	6114.61
gene-CDR20291_0066	312	157.498	110242	13335.5
gene-CDR20291_0067	630	465.049	82567	3382.57
gene-CDR20291_0068	654	489.013	99017	3857.7
gene-CDR20291_0069	291	139.349	47583	6505.59
gene-CDR20291_0070	831	665.915	148958	4261.71
gene-CDR20291_0071	282	131.945	47834	6906.9
gene-CDR20291_0072	336	178.843	66758	7111.64
gene-CDR20291_0073	816	650.915	89809	2628.66
gene-CDR20291_0074	432	269.248	64396	4556.65
gene-CDR20291_0075	204	73.7003	21071	5446.97
gene-CDR20291_0076	255	110.309	56420	9744.53
gene-CDR20291_0077	369	209.184	73534	6697.27
gene-CDR20291_0078	309	154.879	43220	5316.57
gene-CDR20291_0079	543	378.397	76065	3829.8
gene-CDR20291_0080	186	62.0824	21936	6731.75
gene-CDR20291_0081	399	237.628	49020	3930.21
gene-CDR20291_0082	543	378.397	82494	4153.5
gene-CDR20291_0083	369	209.184	53308	4855.14
gene-CDR20291_0084	510	345.726	49573	2731.82
gene-CDR20291_0085	186	62.0824	28521	8752.56
gene-CDR20291_0086	444	280.91	67654	4588.44
gene-CDR20291_0087	1269	1103.91	196927	3398.67
gene-CDR20291_0088	666	500.994	60163	2287.89
gene-CDR20291_0089	747	581.922	71592	2343.9
gene-CDR20291_0090	279	129.454	7946	1169.42
gene-CDR20291_0091	219	83.9477	23639	5364.87
gene-CDR20291_0092	114	22.347	8368	7134.15
gene-CDR20291_0093	372	211.981	19673	1768.12
gene-CDR20291_0094	399	237.628	147671	11839.6
gene-CDR20291_0095	624	459.072	160739	6670.82
gene-CDR20291_0096	948	782.915	130192	3168.17
gene-CDR20291_0097	342	184.238	29882	3090.08
gene-CDR20291_0098	834	668.915	2503	71.2901
gene-CDR20291_0099	822	656.915	2306	66.8789
gene-CDR20291_0100	708	542.936	3333	116.957
gene-CDR20291_0101	732	566.922	4740	159.292
gene-CDR20291_0102	342	184.238	36108	3733.9
gene-CDR20291_0103	393	231.907	29666	2437.17
gene-CDR20291_0104	753	587.922	583	18.8924
rna-16S_2	1631	1465.91	365011	4743.91
rna-23S_2	2631	2465.91	64346.3	497.147
rna-16S_3	1632	1466.91	450734	5854.03
rna-23S_3	2596	2430.91	5804.72	45.4936
rna-5S_2	117	23.7072	8.81633	7.0851
gene-CDR20291_0105	1185	1019.91	22032	411.556
gene-CDR20291_0106	2352	2186.91	32590	283.917
gene-CDR20291_0107	540	375.434	7204	365.577
rna-23S_4	2953	2787.91	916907	6265.92
rna-5S_3	117	23.7072	8.81633	7.0851
gene-CDR20291_0108	840	674.915	1076	30.374
gene-CDR20291_0109	1113	947.915	1925	38.6902
gene-CDR20291_0110	120	25.1733	3	2.27049
gene-CDR20291_0111	918	752.915	9587	242.592
gene-CDR20291_0112	1080	914.915	5793	120.632
gene-CDR20291_0113	609	444.129	9400	403.235
gene-CDR20291_0114	216	81.8742	2448	569.644
gene-CDR20291_0115	1080	914.915	33319	693.826
gene-CDR20291_0116	753	587.922	25661	831.559
gene-CDR20291_0117	558	393.325	31253	1513.84
gene-CDR20291_0118	1407	1241.91	7996	122.665
gene-CDR20291_0119	1833	1667.91	38638	441.347
gene-CDR20291_0120	1296	1130.91	992	16.7117
gene-CDR20291_0121	738	572.922	1008	33.52
gene-CDR20291_0122	1272	1106.91	10597	182.393
gene-CDR20291_0123	1065	899.915	2855	60.4427
gene-CDR20291_0124	669	503.982	920	34.7786
gene-CDR20291_0125	261	115.076	50	8.27801
gene-CDR20291_0126	1020	854.915	2608	58.1198
gene-CDR20291_0127	429	266.346	1632	116.738
gene-CDR20291_0128	519	354.621	401	21.5436
gene-CDR20291_0129	1194	1028.91	12251	226.846
gene-CDR20291_0130	1098	932.915	49	1.00068
gene-CDR20291_0131	2220	2054.91	710	6.58269
gene-CDR20291_0132	783	617.915	357	11.0072
gene-CDR20291_0133	1914	1748.91	389	4.2376
gene-CDR20291_0134	309	154.879	167	20.543
gene-CDR20291_0135	327	170.782	75	8.3668
gene-CDR20291_0136	1335	1169.91	241	3.92466
gene-CDR20291_0137	519	354.621	42	2.25644
gene-CDR20291_0138	960	794.915	75	1.79755
gene-CDR20291_0139	1053	887.915	36	0.77245
gene-CDR20291_0140	675	509.969	54	2.01739
gene-CDR20291_0141	552	387.344	39119	1924.11
gene-CDR20291_0142	2676	2510.91	24151	183.249
gene-CDR20291_0143	1017	851.915	12678	283.527
gene-CDR20291_0144	2151	1985.91	2882	27.6486
gene-CDR20291_0145	1167	1001.91	3778	71.8407
gene-CDR20291_0146	606	441.14	27917	1205.68
gene-CDR20291_0147	1041	875.915	1303	28.3414
gene-CDR20291_0148	453	289.674	932	61.2979
gene-CDR20291_0149	702	536.95	1996	70.8216
gene-CDR20291_0150	429	266.346	966	69.0988
gene-CDR20291_0151	1017	851.915	3919	87.6432
gene-CDR20291_0152	2709	2543.91	10926	81.8272
gene-CDR20291_0153	258	112.705	270	45.6415
gene-CDR20291_0154	981	815.915	2664	62.2055
gene-CDR20291_0155	963	797.915	2535	60.5286
gene-CDR20291_0156	981	815.915	217	5.06704
gene-CDR20291_0157	468	304.333	149	9.32775
gene-CDR20291_0158	714	548.936	5	0.173535
gene-CDR20291_0159	1773	1607.91	160	1.89582
gene-CDR20291_0160	1422	1256.91	228	3.45596
gene-CDR20291_0161	1071	905.915	183	3.8486
gene-CDR20291_0162	252	108.007	38	6.70302
gene-CDR20291_0163	204	73.7003	1332	344.329
gene-CDR20291_0164	294	141.881	20	2.68562
gene-CDR20291_0165	1350	1184.91	74	1.18983
gene-CDR20291_0166	1221	1055.91	38	0.685636
gene-CDR20291_0167	2013	1847.91	261	2.6909
gene-CDR20291_0168	651	486.025	191	7.4871
gene-CDR20291_0169	1377	1211.91	2949	46.3598
gene-CDR20291_0170	1914	1748.91	3824	41.657
gene-CDR20291_0171	633	468.049	14744	600.154
gene-CDR20291_0172	540	375.434	2011	102.051
gene-CDR20291_0173	171	52.8189	23431	8451.64
gene-CDR20291_0174	1068	902.915	2063	43.5303
gene-CDR20291_0175	1902	1736.91	174536	1914.46
gene-CDR20291_0176	411	249.036	18960	1450.49
gene-CDR20291_0177	1104	938.915	111756	2267.69
gene-CDR20291_0178	1188	1022.91	10988	204.653
gene-CDR20291_0179	828	662.915	104	2.98892
gene-CDR20291_0180	1266	1100.91	106716	1846.78
gene-CDR20291_0181	657	492.013	62	2.40079
