#Annotated with Baktfold (v0.2.0): https://github.com/gbouras13/baktfold
Locus	Length	Product	Swissprot	AFDBClusters	PDB	CATH
ECDJJN_00001	565	Penicillin-binding protein 2X	swissprot_P59676	afdbclusters_W7CYB0	pdb_5u47	cath_2zc4E00
ECDJJN_00018	490	Mid-cell-anchored protein Z	swissprot_Q8DR55	afdbclusters_V6Z3P2	pdb_2nda	
ECDJJN_00029	241	Bacitracin transport permease protein BcrB	swissprot_Q5WNX1	afdbclusters_A0A3M0NK23	pdb_7o16	
ECDJJN_00030	73	Uncharacterized HTH-type transcriptional regulator YobD	swissprot_O34647	afdbclusters_A0AAJ3J2E3		
ECDJJN_00031	44	hypothetical protein				
ECDJJN_00032	74	hypothetical protein				
ECDJJN_00033	74	hypothetical protein				
ECDJJN_00034	128	Transposase from transposon Tn916	swissprot_P22886	afdbclusters_A0A136Q6R2	pdb_3nkh	cath_af_Q2FY83_185_400_1.10.443.10
ECDJJN_00040	120	Dihydroneopterin aldolase	swissprot_P0C0G4	afdbclusters_A0A6A6KMT6	pdb_5f3m	cath_af_A0A0R0J0C6_26_148_3.30.1130.10
ECDJJN_00068	53	hypothetical protein				
ECDJJN_00076	62	putative tautomerase SPs0996	swissprot_P0DF85	afdbclusters_A0A7W1MXF3	pdb_8t9o	cath_4fazC00
ECDJJN_00080	197	Threonylcarbamoyl-AMP synthase	swissprot_Q9UYB2	afdbclusters_A0A0R1HIT0	pdb_6f89	cath_af_Q2FWE2_20_236_3.90.870.10
ECDJJN_00092	40	hypothetical protein				
ECDJJN_00093	123	hypothetical protein				
ECDJJN_00101	161	Transcriptional dual regulator GltC	swissprot_P20668	afdbclusters_A0A7W1W7M4	pdb_2hxr	cath_af_Q2FV83_76_274_3.40.190.290
ECDJJN_00109	117	Methylmalonyl-CoA decarboxylase subunit gamma	swissprot_Q57111	afdbclusters_A0A383TF45	pdb_5ks8	cath_af_Q2QMG2_656_731_2.40.50.100
ECDJJN_00113	468	Citrate transporter	swissprot_P42308	afdbclusters_A0A3L9DZI0	pdb_6ol1	cath_af_I6YCG9_3_406_1.20.1530.20
ECDJJN_00123	1180	Chromosome partition protein Smc	swissprot_P51834	afdbclusters_A0A8T5FRK5	pdb_6yvu	cath_5h68A00
ECDJJN_00148	79	hypothetical protein				
ECDJJN_00156	332	hypothetical protein		afdbclusters_Q9A135	pdb_6eff	
ECDJJN_00157	35	hypothetical protein				
ECDJJN_00160	55	hypothetical protein				
ECDJJN_00163	50	hypothetical protein				
ECDJJN_00166	85	hypothetical protein		afdbclusters_A0A3Q8BUF0		
ECDJJN_00174	390	Uncharacterized secreted protein ARB_07466	swissprot_D4ATA2	afdbclusters_A0A9X9R1U4		
ECDJJN_00190	114	hypothetical protein				
ECDJJN_00193	185	ADP-ribose pyrophosphatase	swissprot_P54570	afdbclusters_R6YXQ0	pdb_5c7q	cath_af_Q2FY72_1_175_3.90.79.10
ECDJJN_00199	205	hypothetical protein				
ECDJJN_00201	107	hypothetical protein				
ECDJJN_00202	211	Phage protein		afdbclusters_A0A3P5XMW1		
ECDJJN_00203	84	hypothetical protein				
ECDJJN_00204	179	hypothetical protein				
ECDJJN_00206	727	Ribonucleoside-diphosphate reductase subunit alpha	swissprot_P78027	afdbclusters_A0A846U1T2	pdb_1pem	cath_1peuA02
ECDJJN_00221	80	hypothetical protein				
ECDJJN_00248	140	putative metallophosphoesterase YsnB	swissprot_P94559	afdbclusters_A0A7R9A9S1	pdb_3ck2	cath_3ck2A00
ECDJJN_00271	169	Shikimate kinase	swissprot_Q5LIQ7	afdbclusters_A0A957HMW6	pdb_1rkb	cath_af_A5PMF1_124_319_3.40.50.300
ECDJJN_00297	121	Uncharacterized ABC transporter ATP-binding protein YfiB	swissprot_P54718	afdbclusters_A0A833RL99	pdb_5och	cath_af_Q0JNH5_2_142_3.40.50.300
ECDJJN_00312	69	Uncharacterized HTH-type transcriptional regulator YgzD	swissprot_C0H3X9	afdbclusters_A0A229FNL2	pdb_2xj3	cath_af_Q57720_1_65_1.10.260.40
ECDJJN_00326	412	Ascorbate-specific PTS system EIIC component	swissprot_Q31TC4	afdbclusters_Q99XZ3	pdb_4rp9	
ECDJJN_00330	52	hypothetical protein				
ECDJJN_00343	306	hypothetical protein	swissprot_P64430	afdbclusters_A0A0U2VHZ4		cath_af_P64429_1_283_3.40.390.10
ECDJJN_00349	119	Anaerobic ribonucleoside-triphosphate reductase	swissprot_P43752	afdbclusters_V6Z5U1	pdb_5im3	cath_af_P9WH77_21_107_1.10.10.10
ECDJJN_00371	78	Small ribosomal subunit protein bS20	swissprot_P66511	afdbclusters_A0A0G1X3Z2	pdb_7nhn	cath_af_Q2FXY6_1_83_1.20.58.110
ECDJJN_00387	447	hypothetical protein	swissprot_P47394	afdbclusters_A0A1Y3XUY9		cath_af_Q59058_106_224_3.40.1350.10
