accession,organism,covR_present,covS_present,covR_gene_names,covS_gene_names,covR_annotation,covS_annotation
GCF_000026745.1,Streptococcus suis BM407,no,no,,,,
GCF_000164675.2,Streptococcus parasanguinis ATCC 15912,no,no,,,,
GCF_000187465.1,Streptococcus infantis ATCC 700779,no,no,,,,
GCF_000187585.1,Streptococcus peroris ATCC 700780,no,no,,,,
GCF_000187935.1,Streptococcus parauberis NCFD 2020,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_000188015.2,Streptococcus ictaluri 707-05,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_000221985.1,Streptococcus pseudopneumoniae IS7493,no,no,,,,
GCF_000253315.1,Streptococcus salivarius JIM8777,no,no,,,,
GCF_000376985.1,Streptococcus henryi DSM 19005,no,no,,,,
GCF_000377005.1,Streptococcus minor DSM 17118,no,no,,,,
GCF_000379985.1,Streptococcus caballi DSM 19004,no,no,,,,
GCF_000380005.1,Streptococcus didelphis DSM 15616,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_000380025.1,Streptococcus entericus DSM 14446,no,no,,,,
GCF_000380045.1,Streptococcus marimammalium DSM 18627,no,no,,,,
GCF_000380105.1,Streptococcus orisratti DSM 15617,no,no,,,,
GCF_000380125.1,Streptococcus ovis DSM 16829,no,no,,,,
GCF_000380145.1,Streptococcus thoraltensis DSM 12221,no,no,,,,
GCF_000420785.1,Streptococcus hyovaginalis DSM 12219,no,no,,,,
GCF_000423725.1,Streptococcus devriesei DSM 19639,no,no,,,,
GCF_000423745.1,Streptococcus plurextorum DSM 22810,no,no,,,,
GCF_000423765.1,Streptococcus porci DSM 23759,no,no,,,,
GCF_000425025.1,Streptococcus castoreus DSM 17536,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_000479335.1,Streptococcus ilei,no,no,,,,
GCF_000767835.1,Streptococcus sinensis,no,no,,,,
GCF_000831485.1,Streptococcus iniae,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_001281025.1,Streptococcus mitis,no,no,,,,
GCF_001302265.1,Streptococcus phocae,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_001375655.1,Streptococcus varani,no,no,,,,
GCF_001457635.1,Streptococcus pneumoniae,no,no,,,,
GCF_001552035.1,Streptococcus agalactiae,no,no,,,,
GCF_001598035.1,Streptococcus halotolerans,no,no,,,,
GCF_001623565.1,Streptococcus marmotae,no,no,,,,
GCF_001642085.1,Streptococcus pantholopis,no,no,,,,
GCF_001708305.1,Streptococcus himalayensis,no,no,,,,
GCF_001885095.1,Streptococcus bovimastitidis,yes,no,covR,,two-component system response regulator CovR/CsrR,
GCF_001921845.1,Streptococcus cuniculi,no,no,,,,
GCF_001984715.1,Streptococcus azizii,no,no,,,,
GCF_002953735.1,Streptococcus pluranimalium,no,no,,,,
GCF_003086355.1,Streptococcus chenjunshii,no,no,,,,
GCF_003143695.2,Streptococcus halitosis,no,no,,,,
GCF_003172995.1,Streptococcus sobrinus,no,no,,,,
GCF_003595525.1,Streptococcus respiraculi,no,no,,,,
GCF_003609975.1,Streptococcus ruminantium,no,no,,,,
GCF_003626515.1,Streptococcus chosunensis,no,no,,,,
GCF_003627135.1,Streptococcus koreensis,no,no,,,,
GCF_003627155.1,Streptococcus gwangjuensis,no,no,,,,
GCF_003963555.1,Streptococcus periodonticum,no,no,,,,
GCF_004353325.1,Streptococcus downii,no,no,,,,
